,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
3661,Lost You (feat. Twin Shadow & D'Angelo Lacy),Zeds Dead,0.713,0.863,0.0,-5.19,0.0,0.0385,0.0401,0.000118,0.0786,0.44,114.019,audio_features,5Xq0GIfQuQMPGxqKxl2UDe,spotify:track:5Xq0GIfQuQMPGxqKxl2UDe,https://api.spotify.com/v1/tracks/5Xq0GIfQuQMPGxqKxl2UDe,https://api.spotify.com/v1/audio-analysis/5Xq0GIfQuQMPGxqKxl2UDe,209634.0,4.0,3
3662,You Send Me,Sam Cooke,0.358,0.363,9.0,-8.105,0.0,0.0293,0.475,1.09e-05,0.105,0.269,145.293,audio_features,2RR6MhyLyATjghZY3Qx8yu,spotify:track:2RR6MhyLyATjghZY3Qx8yu,https://api.spotify.com/v1/tracks/2RR6MhyLyATjghZY3Qx8yu,https://api.spotify.com/v1/audio-analysis/2RR6MhyLyATjghZY3Qx8yu,256360.0,3.0,2
3663,What You Know,T.I.,0.748,0.874,2.0,-1.618,1.0,0.138,0.0496,0.0,0.103,0.632,103.047,audio_features,3jr4x5UB7ierqJGeDsRvrA,spotify:track:3jr4x5UB7ierqJGeDsRvrA,https://api.spotify.com/v1/tracks/3jr4x5UB7ierqJGeDsRvrA,https://api.spotify.com/v1/audio-analysis/3jr4x5UB7ierqJGeDsRvrA,228680.0,4.0,0
3664,Wish You Were Here,The Milk Carton Kids,0.439,0.207,1.0,-9.573,1.0,0.0296,0.614,0.0,0.187,0.263,136.513,audio_features,4dp8cI4USaMlFzJ5MeBsVs,spotify:track:4dp8cI4USaMlFzJ5MeBsVs,https://api.spotify.com/v1/tracks/4dp8cI4USaMlFzJ5MeBsVs,https://api.spotify.com/v1/audio-analysis/4dp8cI4USaMlFzJ5MeBsVs,276147.0,4.0,2
3665,You Got Me,G-Eazy,0.677,0.746,10.0,-4.766,0.0,0.184,0.0128,0.0,0.142,0.453,121.011,audio_features,0oBjrHHxFOf5ShTtuxKIQQ,spotify:track:0oBjrHHxFOf5ShTtuxKIQQ,https://api.spotify.com/v1/tracks/0oBjrHHxFOf5ShTtuxKIQQ,https://api.spotify.com/v1/audio-analysis/0oBjrHHxFOf5ShTtuxKIQQ,136648.0,4.0,3
3666,Hear You Me,Jimmy Eat World,0.678,0.022,6.0,-24.627,0.0,0.0523,0.994,0.963,0.091,0.173,70.002,audio_features,4JNcsmhoTE1NVmJ9x6A5C2,spotify:track:4JNcsmhoTE1NVmJ9x6A5C2,https://api.spotify.com/v1/tracks/4JNcsmhoTE1NVmJ9x6A5C2,https://api.spotify.com/v1/audio-analysis/4JNcsmhoTE1NVmJ9x6A5C2,243801.0,4.0,2
3667,Sex You,Bando Jonez,0.735,0.768,5.0,-4.481,1.0,0.0353,0.0197,0.0,0.0643,0.83,104.991,audio_features,3AsNVBJ7LHsltdu9490ZiS,spotify:track:3AsNVBJ7LHsltdu9490ZiS,https://api.spotify.com/v1/tracks/3AsNVBJ7LHsltdu9490ZiS,https://api.spotify.com/v1/audio-analysis/3AsNVBJ7LHsltdu9490ZiS,217840.0,4.0,0
3668,You Don’t Get Me High Anymore,Phantogram,0.612,0.744,8.0,-5.671,1.0,0.033,0.125,2.57e-06,0.0978,0.527,113.009,audio_features,2JnYlHAkyysBq4DXUjqDYP,spotify:track:2JnYlHAkyysBq4DXUjqDYP,https://api.spotify.com/v1/tracks/2JnYlHAkyysBq4DXUjqDYP,https://api.spotify.com/v1/audio-analysis/2JnYlHAkyysBq4DXUjqDYP,201813.0,4.0,0
3669,drugs,EDEN,0.545,0.591,11.0,-8.213,0.0,0.153,0.057,8.26e-06,0.12,0.359,85.014,audio_features,3vslWaSUsWvTH0fC5ddWbv,spotify:track:3vslWaSUsWvTH0fC5ddWbv,https://api.spotify.com/v1/tracks/3vslWaSUsWvTH0fC5ddWbv,https://api.spotify.com/v1/audio-analysis/3vslWaSUsWvTH0fC5ddWbv,258896.0,4.0,3
3670,I Miss You,Pablo Monte,0.483,0.844,2.0,-5.043,1.0,0.0314,0.00481,7.29e-05,0.405,0.543,151.977,audio_features,1IOsvFqEJKFs91LQp4xEgj,spotify:track:1IOsvFqEJKFs91LQp4xEgj,https://api.spotify.com/v1/tracks/1IOsvFqEJKFs91LQp4xEgj,https://api.spotify.com/v1/audio-analysis/1IOsvFqEJKFs91LQp4xEgj,229533.0,4.0,0
3671,You Spin Me Round (Like a Record),Dead Or Alive,0.444,0.821,10.0,-5.91,1.0,0.0416,0.0186,3.09e-06,0.182,0.452,151.948,audio_features,4gHDOASpAaGG9eitQZP1bQ,spotify:track:4gHDOASpAaGG9eitQZP1bQ,https://api.spotify.com/v1/tracks/4gHDOASpAaGG9eitQZP1bQ,https://api.spotify.com/v1/audio-analysis/4gHDOASpAaGG9eitQZP1bQ,224293.0,4.0,0
3672,Can You Feel My Heart,Bring Me The Horizon,0.648,0.759,6.0,-4.315,1.0,0.306,0.0142,0.0,0.648,0.518,85.996,audio_features,0YImOCkIJ2PWhCXaURCZnY,spotify:track:0YImOCkIJ2PWhCXaURCZnY,https://api.spotify.com/v1/tracks/0YImOCkIJ2PWhCXaURCZnY,https://api.spotify.com/v1/audio-analysis/0YImOCkIJ2PWhCXaURCZnY,324307.0,4.0,1
3673,I Put A Spell On You,Nina Simone,0.55,0.587,2.0,-6.279,1.0,0.0329,0.354,0.0,0.128,0.466,165.975,audio_features,46n2EGFnPC3tzWCN1Aqe26,spotify:track:46n2EGFnPC3tzWCN1Aqe26,https://api.spotify.com/v1/tracks/46n2EGFnPC3tzWCN1Aqe26,https://api.spotify.com/v1/audio-analysis/46n2EGFnPC3tzWCN1Aqe26,284760.0,4.0,0
3674,Baby Are You Home,Lil Uzi Vert,0.715,0.831,2.0,-6.161,1.0,0.0729,0.223,3.84e-06,0.132,0.805,100.006,audio_features,5S5gGOsUarzRXKoaSstwba,spotify:track:5S5gGOsUarzRXKoaSstwba,https://api.spotify.com/v1/tracks/5S5gGOsUarzRXKoaSstwba,https://api.spotify.com/v1/audio-analysis/5S5gGOsUarzRXKoaSstwba,223642.0,4.0,0
3675,Walk With You,The Franklin Electric,0.764,0.487,0.0,-6.734,1.0,0.0281,0.25,0.0,0.184,0.352,116.027,audio_features,0U969xYNlAyfzi8P1TaO7u,spotify:track:0U969xYNlAyfzi8P1TaO7u,https://api.spotify.com/v1/tracks/0U969xYNlAyfzi8P1TaO7u,https://api.spotify.com/v1/audio-analysis/0U969xYNlAyfzi8P1TaO7u,261320.0,4.0,0
3676,Fight For You,Grayson Reed,0.431,0.803,4.0,-4.459,1.0,0.0364,0.00167,0.0,0.331,0.309,147.048,audio_features,3c9LVPh3MpeFoaAL5DBDK5,spotify:track:3c9LVPh3MpeFoaAL5DBDK5,https://api.spotify.com/v1/tracks/3c9LVPh3MpeFoaAL5DBDK5,https://api.spotify.com/v1/audio-analysis/3c9LVPh3MpeFoaAL5DBDK5,246410.0,4.0,0
3677,Say You Do (feat. Imani Williams & DJ Fresh),Sigala,0.215,0.0133,0.0,-6.101,1.0,0.0566,0.00645,0.00403,0.159,0.966,138.006,audio_features,1ZwJALwnYbeHdEVCNVmniz,spotify:track:1ZwJALwnYbeHdEVCNVmniz,https://api.spotify.com/v1/tracks/1ZwJALwnYbeHdEVCNVmniz,https://api.spotify.com/v1/audio-analysis/1ZwJALwnYbeHdEVCNVmniz,591160.0,5.0,0
3678,Once You Go Up - Original Mix,Nungwi,0.565,0.833,11.0,-5.273,1.0,0.0373,0.00166,8.68e-06,0.114,0.619,123.066,audio_features,77axEBUhg3wG81HYRvdNqx,spotify:track:77axEBUhg3wG81HYRvdNqx,https://api.spotify.com/v1/tracks/77axEBUhg3wG81HYRvdNqx,https://api.spotify.com/v1/audio-analysis/77axEBUhg3wG81HYRvdNqx,199573.0,4.0,0
