,title,artist
35,Madura,COSCULLUELA / BAD BUNNY
36,Dejala que Vuelva,Piso 21 / Manuel Turizo
37,Calypso,"Luis Fonsi, Stefflon Don"
38,Lo Siento,BERET
39,Amorfoda,BAD BUNNY
40,Clandestino,Shakira feat. Maluma
41,Friends,Marshmello & Anne-Marie
42,Havana,Camila Cabello feat. Young Thug
43,El Préstamo,Maluma
44,Dembow,DANNY OCEAN
45,Sensualidad,BAD BUNNY / PRINCE ROYCE / J BALVIN / MAMBO KINGZ /DJ LUIAN
46,PIENSO EN TU MIRÁ (CAP.3:CELOS),Rosalía
47,BEBE,6IX9INE / ANUEL AA
48,God´s Plan,Drake
49,Guerrera,C. Tangana y Dellafuente
50,Taki Taki,"DJ Snake, Selena Gomez, Ozuna y Cardi B"
51,Besos En Guerra,Morat y Juanes
52,Shape of you,ED SHEERAN
53,Llorando en la limo,C. Tangana
54,Girls Like You,Maroon 5 ft Cardi B
55,Me Rehuso,DANNY OCEAN
56,Solo (feat. Demi Lovato),Clean Bandit
57,MIA feat. Drake,BAD BUNNY
58,Mayores,Becky G feat Bad Bunny
59,Cuando Te Besé,Becky G & Paulo Londra
60,El Farsante,OZUNA
61,Cuando Nadie Ve,Morat
62,El Anillo,Jennifer Lopez
63,IBIZA,OZUNA / ROMEO SANTOS
64,La Isla del amor,DEMARCO FLAMENCO / MAKI
65,These Days (Camelphat Remix),RUDIMENTAL / JESS GLYNNE / MACKLEMORE & DAN CAPLEN
66,Azukita,STEVE AOKI / DADDY YANKEE / PLAY-N-SKILLZ / ELVIS CRESPO
67,Brillo,J BALVIN / ROSALÍA
68,Bum Bum Tam Tam,Mc Fioti
69,Fuego,Eleni Foureira
70,IDGAF,Dua Lipa
71,Le Encanta,Juan Magan y B-Case
72,La Llamada,Leiva
73,X (Remix),Nicky Jam & J Balvin feat Maluma & Ozuna
74,Tu canción,AMAIA ROMERO / ALFRED GARCÍA
75,New Rules,Dua Lipa
76,Bailame,Nacho
77,Él no soy yo,Blas Canto
78,Se preparó,OZUNA
79,QUIERE BEBER,ANUEL AA
80,Ya Es Hora,"Ana Mena, Becky G, De La Ghetto"
81,Unica,OZUNA
82,MALA MÍA,Maluma
83,Celoso,Lele Pons
84,Solita,OZUNA / MAMBO KINGZ / DJ LUIAN / BAD BUNNY / WISIN / ALMIGHT
85,Flames,David Guetta / Sia
86,Suena El Dembow,Joey Montana y Sebastián Yatra
87,No Quiero Amarte,JUSTIN QUILES / ZION & LENNOX
88,ESTAMOS BIEN,BAD BUNNY
89,Perro Fiel,shakira / Nicky Jam
90,ADAN Y EVA,PAULO LONDRA
91,Despacito (Featuring Daddy Yankee),Luis Fonsi feat Daddy Yankee
92,Booty,C. Tangana & Becky G.
93,Mad Love,SEAN PAUL / DAVID GUETTA / BECKY G
94,Imposible,Luis Fonsi y Ozuna
95,El Patio,Pablo López
96,ANTES DE MORIRME,C.TANGANA / ROSALIA
97,IN MY FEELINGS,Drake
98,Robarte un Beso,Carlos Vives & Sebastian Yatra
99,El Arrepentido,Melendi & Carlos Vives
200,CONTANDO LUNARES,DON PATRICIO / CRUZ CAFUNÉ
201,Con Calma,Daddy Yankee & Snow
202,Calma (Remix),Pedro Capó & Farruko
203,CHINA,ANUEL AA / DADDY YANKEE / KAROL G / J BALVIN / OZUNA
204,BAILA BAILA BAILA,OZUNA
205,Con Altura,"ROSALÍA & J BALVIN ft., EL GUINCHO"
206,CALLAITA,BAD BUNNY / TAINY
207,SOLTERA (REMIX),LUNAY / DADDY YANKEE / BAD BUNNY
208,NO ME CONOCE,JHAY CORTEZ
209,Secreto,Anuel AA & Karol G
211,"Yo x Ti, Tu x Mi","Rosalía, Ozuna"
212,OTRO TRAGO,SECH / DARELL
213,PA MI,DALEX / RAFA PABÖN / DIMELO FLOW / KHEA / SECH / C
214,ENCHOCHADO DE TI,DON PATRICIO
215,Señorita,Shawn Mendes feat Camila Cabello
216,VERTE IR,DJ LUIAN / MAMBO KINGZ / ANUEL AA / NICKY JAM / DA
217,HP,Maluma
218,Te Robaré,Nicky Jam & Ozuna
219,AMANECE,ANUEL AA / HAZE
220,Un Año,Sebastián Yatra & Reik
221,I Don`t Care,Ed Sheeran & Justin Bieber
222,bad guy (with Justin Bieber),Billie Eilish
223,Contra La Pared,Sean Paul & J Balvin
224,TAL VEZ,PAULO LONDRA
226,CRISTINA,MAFFIO / JUSTIN QUILES / NACHO / SHELOW SHAQ
227,Swing,DANNY OCEAN
228,OTRO TRAGO (REMIX),SECH / OZUNA / ANUEL AA / DARELL / NICKY JAM
229,ELLA QUIERE BEBER,ANUEL AA / ROMEO SANTOS
230,LA RUBIA (REMIX 2),LA NUEVA ESCUELA / OMAR MONTES
231,SI SE DA,MYKE TOWERS / FARRUKO
232,Mujer Bruja,Lola Indigo & Mala Rodriguez
233,Alocao,Omar Montes x Bad Gyal
234,LA PLAYA,MYKE TOWERS
235,Adicto,"Tainy, Anuel AA & Ozuna"
236,VAS A QUEDARTE,Aitana
237,SOLDI,MAHMOOD
238,LA CANCIÓN,J. Balvin y Bad Bunny
239,Shallow,Lady Gaga y Bradley Cooper
240,Déjate Querer,"Lalo Ebratt, Sebastian Yatra y Yera"
241,Presiento,Morat y Aitana
243,11PM,Maluma
244,Loco Contigo,"DJ Snake, J. Balvin, Tyga"
245,Adictiva,Daddy Yankee y Anuel AA
246,DE TRANQUILOTE,DANNY ROMERO / LÉRICA
247,NI BIEN NI MAL,BAD BUNNY
248,Qué Pretendes,J. Balvin y Bad Bunny
250,TA TO GUCCI,CAUTY / RAFA PABON
251,5 Sentidos,DVICIO y TABURETE
252,7 rings,Ariana Grande
253,Milionària,Rosalía
254,PA LLAMAR TU ATENCION,"C. TANGANA, ALIZZZ Y MC BIN LADEN"
255,SAY MY NAME,DAVID GUETTA / BEBE REXHA / J BALVIN
256,CUADERNO,DALEX / NICKY JAM / JUSTIN QUILES / SECH / LENNY TAVÁREZ / FEID / RAFA PABÖN
259,SOLTERA,LUNAY
260,Dance Monkey,Tones and I
261,Indeciso,"Reik, J Balvin, Lalo Ebratt"
262,Aullando,"Wisin & Yandel, Romeo Santos"
264,Te Quemaste,Manuel Turizo & Anuel AA
265,DIAVLA,CHRIS VIZ / YOUNG VENE
266,Sweet but Psycho,Ava Max
267,GOTEO,DUKI
268,FANTASIAS,RAUW ALEJANDRO / FARRUKO
269,QUE MÁS PUES (REMIX),SECH / JUSTIN QUILES / MALUMA / NICKY JAM / FARRUK
270,MIRÁNDOTE,RVFV
271,MALA,6IX9INE / ANUEL AA
272,EASY,JHAY CORTEZ
273,no te preocupes por mí,Leiva
274,Desconocidos,MAU Y RICKY & MANUEL TURIZO Feat CAMILO
275,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin
276,NO TE VEO,CASPER MAGICO
277,TE VI,PISO 21 / MICRO TDH
278,Esclavo de tus besos,Manuel Turizo & Ozuna
279,GANAS SOBRAN,BRYANT MYERS / MIKY WOODZ / JUSTIN QUILES
280,Date La Vuelta ft. Nicky Jam y Sebastian Yatra,Luis Fonsi
282,ELLOS,CEKY VICINY
283,ME LLAMA,BERET
284,DJ NO PARE,Justin Quiles
285,Indios y Vaqueros,Sinsinati
286,BAILA CONMIGO,DAYVI / VICTOR CARDENAS / KELLY RUIZ
287,Lola Bunny,Lola Indigo & Don Patricio
288,Someone You Loved,Lewis Capaldi
290,Mi Persona Favorita,Alejandro Sanz & Camila Cabello
291,ME QUEDO,Aitana / Lola Indigo
292,Qué tienes tú,DVICIO ft Reik y Mau & Ricky
293,Aute Cuture,Rosalía
295,Perfect,ED SHEERAN / BEYONCE
296,HOLA SEÑORITA,MAÎTRE GIMS / MALUMA
297,Bésame,David Bisbal y Juan Magán
500,Tusa,Karol G. y Nicki Minaj
501,Se iluminaba feat. Ana Mena,Fred De Palma
502,Blinding Lights,The Weeknd
503,HAWÁI,Maluma
505,LA JEEPETA (REMIX),NIO GARCIA / ANUEL AA / MYKE TOWERS / NIO GARCIA / BRRAY /
506,PORFA,FEID / JUSTIN QUILES
507,Caramelo,OZUNA
508,LA CURIOSIDAD,JAY WHEELER / DJ NELSON / MYKE TOWERS
509,Tattoo Remix,Rauw Alejandro & Camilo
510,DAKITI,BAD BUNNY / JHAY CORTEZ
511,MIL TEQUILAS,CHEMA RIVAS
512,Morado,J. Balvin
513,SAFAERA,BAD BUNNY / JOWELL / RANDY / ÑENGO FLOW
514,Favorito,Camilo
515,+,Aitana + Cali Y El Dandee
516,Tú Me Dejaste De Querer,"C. Tangana feat. Niño de Elche, La Húngara"
517,DJADJA,AYA NAKAMURA
518,EL MANUAL,ANUEL AA
520,TATTOO,RAUW ALEJANDRO
521,Rojo,J. Balvin
